"","Fragment.ID","Intercept","umol.L.sec","V4","V5","Date.x","Sample.ID","Plug.Number","Chamber.Channel","Position","Bin.ID","Run","Species","Fragment.Number","Sample.Type","Temp.Cat","Water.Height.cm","Chamber.Vol.L","Surf.Area.cm2","Start.Tme.Light","Stop.Time.Light","Start.Tme.Dark","Stop.Time.Dark","Notes.x","QC","Water.Height.in","umol.sec","Blank","umol.sec.corr","Date.y","Red.Standard","Green.Standard","Blue.Standard","Red.Coral","Green.Coral","Blue.Coral","SA","Notes.y","umol.cm2.hr"
"1","702",184.746904985906,0.00034131430584919,NA,"Photo",20190825,"702",NA,7,7,NA,1,"P.astreoides",NA,"Sample",28,22.6,17.5856987875575,NA,NA,NA,NA,NA,NA,NA,8.8976426,0.00600225057454814,-0.00530491882725666,0.0113071694018048,"8/21/19",178.188,113.018,149.245,121.608,97.272,52.535,87.795,"",0.463646105660883
"2","703",177.977250576241,0.000261455167173242,NA,"Photo",20190825,"703",NA,3,3,NA,2,"P.astreoides",NA,"Sample",28,23.2,18.06957011184,NA,NA,NA,NA,NA,NA,NA,9.1338632,0.00472438247433974,-0.00530491882725666,0.0100293013015964,"8/21/19",171.741,106.315,137.498,115.375,83.766,37.895,72.942,"",0.494988959526021
"3","706",167.751613820971,-0.000180647893772891,NA,"Photo",20190825,"706",NA,6,6,NA,3,"P.astreoides",NA,"Sample",28,23,17.9082796704125,NA,NA,NA,NA,NA,NA,NA,9.055123,-0.0032350930035559,-0.00530491882725666,0.00206982582370075,"8/21/19",159.952,98.987,130.932,109.996,84.992,53.624,61.925,"",0.120328994191727
"4","707",169.206577740642,0.000493114973261965,NA,"Photo",20190825,"707",NA,6,6,NA,2,"P.astreoides",NA,"Sample",28,23.2,18.06957011184,NA,NA,NA,NA,NA,NA,NA,9.1338632,0.00891037558255519,-0.00530491882725666,0.0142152944098118,"8/21/19",177.203,117.16,153.153,98.532,76.503,38.345,74.303,"",0.688734773499356
"5","708",187.722923314788,0.000296569101757788,NA,"Photo",20190825,"708",NA,2,2,NA,3,"P.astreoides",NA,"Sample",28,23.5,18.3115057739813,NA,NA,NA,NA,NA,NA,NA,9.2519735,0.00543062681922217,-0.00530491882725666,0.0107355456464788,"8/21/19",180.231,114.451,152.606,101.752,71.369,37.95,73.951,"",0.522615844644748
"6","709",168.46031140945,0.000142710853088196,NA,"Photo",20190825,"709",NA,1,1,NA,5,"P.astreoides",NA,"Sample",28,23.1,17.9889248911263,NA,NA,NA,NA,NA,NA,NA,9.0944931,0.0025672148173521,-0.00530491882725666,0.00787213364460876,"8/21/19",171.542,111.902,146.62,100.41,80.366,44.945,47.153,"",0.601015441659948
"7","711",189.627597284427,0.000279163449163523,NA,"Photo",20190825,"711",NA,2,2,NA,2,"P.astreoides",NA,"Sample",28,23.3,18.1502153325538,NA,NA,NA,NA,NA,NA,NA,9.1732333,0.00506687671529637,-0.00530491882725666,0.010371795542553,"8/21/19",161.293,96.582,128.044,131.405,107.779,74.596,76.444,"",0.488442048469349
"8","715",159.464953885291,0.000336586493987087,NA,"Photo",20190825,"715",NA,10,10,NA,4,"P.astreoides",NA,"Sample",28,23.1,17.9889248911263,NA,NA,NA,NA,NA,NA,NA,9.0944931,0.00605482915970123,-0.00530491882725666,0.0113597479869579,"8/21/19",191.255,126.619,160.284,114.378,86.405,37.674,74.465,"",0.549185426080016
"9","716",182.488338483483,0.000249504504504525,NA,"Photo",20190825,"716",NA,9,9,NA,4,"P.astreoides",NA,"Sample",28,23.1,17.9889248911263,NA,NA,NA,NA,NA,NA,NA,9.0944931,0.00448831779152957,-0.00530491882725666,0.00979323661878623,"8/21/19",162.398,96.099,135.983,109.995,82.939,38.866,61.122,"",0.576807889591807
"10","717",185.555603157349,0.000393599407626762,NA,"Photo",20190825,"717",NA,9,9,NA,1,"P.astreoides",NA,"Sample",28,23,17.9082796704125,NA,NA,NA,NA,NA,NA,NA,9.055123,0.00704868826988875,-0.00530491882725666,0.0123536070971454,"8/21/19",176.427,112.643,147.188,113.412,86.848,51.08,117.788,"",0.377568050647973
"11","718",178.175422762488,0.000434661193339485,NA,"Photo",20190825,"718",NA,4,4,NA,2,"P.astreoides",NA,"Sample",28,23.3,18.1502153325538,NA,NA,NA,NA,NA,NA,NA,9.1732333,0.00788919425581644,-0.00530491882725666,0.0131941130830731,"8/21/19",179.256,118.03,153.21,110.316,82.69,40.047,76.139,"",0.623843327323227
"12","719",158.832446902396,0.000135213325540618,NA,"Photo",20190825,"719",NA,10,10,NA,5,"P.astreoides",NA,"Sample",28,23.2,18.06957011184,NA,NA,NA,NA,NA,NA,NA,9.1338632,0.00244324666591124,-0.00530491882725666,0.0077481654931679,"8/21/19",180.682,112.913,155.195,103.843,80.998,41.925,41.604,"",0.670449855191915
"13","725",186.708918002323,0.000196386030305472,NA,"Photo",20190825,"725",NA,2,2,NA,5,"P.astreoides",NA,"Sample",28,23.1,17.9889248911263,NA,NA,NA,NA,NA,NA,NA,9.0944931,0.00353277354883158,-0.00530491882725666,0.00883769237608823,"8/21/19",185.791,116.966,154.461,118.834,87.881,48.125,63.489,"",0.501121336828705
"14","726",165.810428444669,-0.000188228744939255,NA,"Photo",20190825,"726",NA,6,6,NA,4,"P.astreoides",NA,"Sample",28,23.3,18.1502153325538,NA,NA,NA,NA,NA,NA,NA,9.1732333,-0.00341639225242382,-0.00530491882725666,0.00188852657483284,"8/21/19",177.326,117.359,145.691,83.703,62.062,33.678,58.986,"",0.115259479696847
"15","728",170.108716897233,0.000260046113306909,NA,"Photo",20190825,"728",NA,1,1,NA,3,"P.astreoides",NA,"Sample",28,23.3,18.1502153325538,NA,NA,NA,NA,NA,NA,NA,9.1732333,0.00471989295291406,-0.00530491882725666,0.0100248117801707,"8/21/19",166.387,104.88,139.969,117.924,87.663,45.109,61.563,"",0.586217734818228
